,Player Name,Previous Streak Coefficient,p-Value,Pseudo R^2
0,lebron james,-0.0537881979139,0.116218127937,0.0882355882896
1,damian lillard,0.0299570932766,0.335785802213,0.0549934857086
2,russell westbrook,-0.0376355519373,0.252756222297,0.063785723483
3,james harden,0.0260540384177,0.350140388868,0.0439483369995
4,carmelo anthony,-0.0520518407993,0.157199409519,0.0425258515741
5,stephen curry,-0.0750044964831,0.0364620420001,0.0519291506761
6,kobe bryant,-0.00195483567107,0.954770869483,0.0475017858855
7,derrick rose,0.0512451980421,0.114370326463,0.0477970570725
8,kyrie irving,-0.0224597557153,0.485582693774,0.0247236551915
9,kemba walker,-0.00834829837979,0.820582107776,0.040961387403
10,tyreke evans,0.0221296211575,0.500243278627,0.0563028475732
11,klay thompson,0.016384066842,0.58395957243,0.0214047491116
12,mnta ellis,0.0332118166241,0.24419090938,0.0432631192763
13,lamarcus aldridge,-0.0143048436802,0.6351751019,0.0428754363797
14,kyle lowry,-0.0403563931023,0.257787835102,0.0593614049395
15,blake griffin,0.00115698656252,0.970765336396,0.0524971474793
16,ryan anderson,0.0149235980998,0.699266806788,0.0375141398444
17,victor oladipo,-0.00646499008478,0.865104572994,0.0820007762587
18,brandon knight,-0.0484390235789,0.183901248557,0.0332327551947
19,eric bledsoe,0.00258877061076,0.94433793134,0.0722590366701
